Question,Answer
How does the formatting and post-processing work?,"format_answer() in stage6_formatting_nodes.py is the last transformation before the response reaches the user. The problem it solves: LLMs generate markdown inconsistently. The approach: format_answer strips retrieval metrics and source citations that leak through from hallucination_check(). The frontend uses react-markdown with remark-gfm, so markdown headers, bold, tables, images, code blocks, and lists all render correctly. The system prompt allows markdown formatting for project deep-dives while banning emoji in knowledge responses and walls of text longer than 5 sentences without a line break. Verbatim copy detection runs on all non-welcome answers to ensure responses add conversational value rather than regurgitating chunks word for word, except for self-knowledge responses where accurate reproduction is correct behavior."
How does the memory and session management work?,"The pipeline is stateless by design, there is no server-side session store. Conversation continuity comes from chat_history, which is a list of user and assistant message dicts passed with each request. The problem with unbounded conversation history is it degrades generation quality after enough turns, the LLM starts losing focus with too much context. The approach: update_memory() in stage7_logging_nodes.py maintains bounded sliding windows. Topic tracking keeps the last 10 topics discussed. Entity tracking keeps the last 20 entities mentioned. Affinity tracking notes which subjects the user showed sustained interest in. These bounded windows get included in the generation prompt to maintain coherence without overwhelming the context. Session IDs are UUIDs generated client-side and passed with each request. initialize_conversation_state in stage0_session_management.py clears volatile per-turn fields at the start of every request, pipeline_halt, answer, skip_rag, message_intent, is_greeting, clarification_needed, so stale flags from previous turns do not short-circuit the current turn."
How does the hallucination checking work?,"The problem: language models generate plausible text regardless of whether it is true. If I retrieve chunks about Noah's attrition model and the LLM adds claims about a 98% accuracy rate that does not appear in any chunk, that is a hallucination. The approach: hallucination_check() in stage5_generation_nodes.py compares the generated draft against the retrieved chunks. It looks for specific factual claims, statistics, project names, technical details, and validates that each claim has support in the source material. If unsupported claims are detected, the system flags them. Verbatim copy detection runs in the opposite direction, checking whether the response is just repeating a chunk word for word without adding any conversational value. Self-knowledge chunks (source='self_knowledge') are exempt from verbatim detection because accurately describing my own architecture using the synthetic chunk content is correct behavior."
How does the edge case detection work?,"util_edge_case_detection.py handles the queries that do not fit neatly into the standard pipeline. Gibberish detection catches random keyboard input. Meta-question detection identifies when someone is asking about my behavior rather than about Noah, 'why don't you ask me questions' or 'what are you doing', and routes appropriately. Off-topic detection catches queries completely unrelated to Noah or my architecture. The tricky part: false positives. 'What model do you use' looks like a meta-question but is really a self-knowledge query. So the detection includes keyword exemptions for technical terms like 'built', 'retrieval', 'pipeline', 'architecture' that indicate the user is asking about my engineering, not questioning my conversational behavior. These exemptions were added after the system was incorrectly routing legitimate architecture questions to the off-topic handler."
What is the observability and monitoring setup?,"LangSmith traces every LLM call, both Claude Haiku classification calls and Claude Sonnet 4.5 generation calls. Each trace includes the full prompt, the model response, latency, token usage, and cost. This is engineering observability, not user tracking. The value: when a response sounds wrong, the trace shows exactly what chunks were retrieved, what the prompt looked like, and what the model generated. The analytics layer in assistant/analytics/supabase_analytics.py logs conversation metadata to Supabase, session ID, query, response, latency, retrieval scores, and which chunks were used. This data feeds pipeline improvement: if retrieval scores are consistently low for a category of questions, the knowledge base needs better coverage. If latency spikes on certain query types, the pipeline has a bottleneck. Tracing is enabled via the LANGCHAIN_TRACING_V2 environment variable and can be disabled for local development."
Why pgvector instead of Pinecone or a dedicated vector database?,"The problem with dedicated vector databases like Pinecone is you end up managing two services for one job. Your application data lives in Postgres and your embeddings live somewhere else. Two bills, two failure modes, two sets of credentials, two places where things silently break at 2am. pgvector puts vector search inside the same Postgres instance that already handles the knowledge base, crush confessions, recruiter leads, and analytics. One connection string, one backup strategy, one service to monitor. The tradeoff is real: Pinecone handles billions of vectors with specialized indexing that pgvector cannot match at scale. But I have roughly 200 knowledge chunks. Using Pinecone for 200 vectors is like renting a warehouse to store a shoebox. The IVFFLAT index on pgvector handles this dataset in single-digit milliseconds. If the knowledge base grew to millions of chunks, the decision would change. It has not, so it does not."
Why a functional pipeline instead of LangGraph StateGraph?,"The pipeline was originally designed for LangGraph StateGraph. Nodes returned partial state dicts because that is how StateGraph merges updates. The problem appeared during deployment: StateGraph adds framework complexity that made debugging harder in a serverless environment. When a node fails in StateGraph, the error trace goes through LangGraph internals before reaching the actual problem. In a functional pipeline, the error trace points at a Python function. The fix was simple. Keep the same node contract, partial dict returns, but replace the StateGraph orchestrator with a for loop that calls state.update(result) after each node. Same nodes, same state shape, same behavior. Less framework. The tradeoff: no built-in conditional edges or parallel branches from LangGraph. The pipeline does not need them. Every message follows a linear path with short-circuit exits, not a branching graph. If the pipeline needed parallel retrieval from multiple sources or complex conditional routing, StateGraph would earn its complexity. Right now it would be overhead."
Why Claude Haiku for intent classification instead of regex or keyword matching?,"The obvious approach to intent classification is pattern matching. Check for the word hello and route to greeting. Check for crush and route to the crush flow. That works for the first ten test cases and breaks on the eleventh. Someone types 'yo what is this thing' and it is a greeting but contains none of the keywords. Someone asks 'how do you handle crushes on the backend' and it is a technical question that contains the word crush. Regex cannot handle semantic ambiguity without becoming a maintenance nightmare of special cases. Claude Haiku costs roughly a tenth of a cent per classification and takes 150 milliseconds. It understands that 'yo what is this thing' is a greeting and 'how do you handle crushes on the backend' is a knowledge query. The tradeoff is latency and cost versus accuracy. Haiku adds 150ms to every request. But it eliminates an entire category of misrouting bugs that would take longer to debug than the 150ms costs. Noah chose reliability over speed. That is the correct priority order."
What happens when retrieval returns nothing useful?,"Three things can go wrong with retrieval: no chunks pass the similarity threshold, the chunks that pass are not actually relevant to the question, or the knowledge base simply does not contain the answer. The pipeline handles each case differently. First, dual thresholds. If no chunks pass the 0.50 strict threshold, the system retries with 0.30 for broader recall. That catches imperfect but useful matches, a question about predictive modeling might not score 0.50 against a chunk about logistic regression but it will score above 0.30. Second, grounding validation. validate_grounding() in stage4_retrieval_nodes.py checks whether the retrieved chunks actually support answering the query, not just whether chunks were returned. Chunks about the wrong project are retrieved context but not grounded context. Third, graceful fallback. If grounding fails and the query is about my own architecture, handle_grounding_gap() injects a synthetic self-knowledge chunk. If it is about something else entirely, the system responds honestly that it does not have enough information rather than hallucinating an answer. The alternative, generating a response from insufficient context, is worse than admitting the gap."
What happens when the LLM hallucinates or makes something up?,"Language models generate plausible text whether or not it is true. If I retrieve chunks about Noah's attrition model and the LLM invents a claim about 98 percent accuracy when the actual number is 94.75 percent, that is a hallucination that could cost Noah a job opportunity. hallucination_check() in stage5_generation_nodes.py compares the generated draft against retrieved chunks. It looks for factual claims, statistics, project names, and technical details, then validates each claim has support in the source material. If unsupported claims are found, the system flags and corrects them. The opposite problem also exists: verbatim regurgitation. If the response is just a chunk repeated word for word with no conversational framing, it sounds like a search engine, not a conversation. Verbatim detection catches that too, except for self-knowledge chunks where accurate reproduction of architectural facts is the correct behavior. The system would rather say less than say something wrong. That is not a limitation, that is a design choice."
What happens when an external service goes down?,"The pipeline touches four external services: Anthropic for LLM generation, OpenAI for embeddings, Supabase for vector search and storage, and Twilio for SMS. If Anthropic is down, the pipeline cannot generate responses. There is no fallback model. That is an intentional decision, switching to a weaker model mid-conversation would produce noticeably different voice and quality, which is worse than a clean error. If OpenAI embeddings fail, retrieval cannot run. The query never gets embedded so no vector search happens. The system falls through to grounding validation which detects the gap and responds honestly. If Supabase is down, both retrieval and analytics fail. The conversation still attempts to proceed using self-knowledge for architecture queries, but knowledge-dependent answers will not work. If Twilio is down, SMS notifications for crush confessions and hiring signals silently fail. The conversation itself is unaffected, the user gets their response, Noah just does not get the alert. Every service failure is logged to LangSmith when tracing is available. The philosophy is fail honestly rather than fail silently."
Can you remember me between conversations?,"No. Every conversation starts from zero. The pipeline is stateless by design, there is no user profile, no long-term memory, no way to recognize you if you come back tomorrow. Within a single conversation I maintain context using bounded sliding windows, the last 10 topics discussed, the last 20 entities mentioned, and the full chat history. That is how I avoid repeating myself and can reference what you asked three messages ago. But when the conversation ends, all of that is gone. The reason is simplicity and privacy. Persistent user profiles require authentication, storage, and a policy about what gets kept and for how long. For a portfolio assistant, the tradeoff is not worth it. You are here to learn about Noah, not to build a relationship with his chatbot."
What are your limitations and what can you not do?,"I can only talk about Noah. His projects, his career, his technical decisions, and my own architecture. I cannot write code, do your homework, give medical advice, or have opinions about politics. My knowledge comes from a curated knowledge base of roughly 200 chunks covering Noah's portfolio, career, and my own design. If something is not in that knowledge base, I do not know it, and I will tell you that rather than making something up. I cannot browse the internet, access external APIs, or learn new information during our conversation. I cannot see images, process files, or interact with anything outside this chat interface. I also cannot guarantee perfect accuracy. The hallucination check catches most fabricated claims but language models are probabilistic, not deterministic. If a specific statistic matters, verify it against the GitHub repository. Those are real constraints, not false modesty. Within those constraints I am very good at what I do."
How long did it take to build you?,"Noah built me iteratively over several weeks, but the question is misleading because it implies the work is done. The first working version, a basic RAG pipeline with FAISS and GPT-4o, came together in a few days. It answered questions. It was not interesting. The migration to Supabase pgvector took the retrieval layer from a local file to a production database. The migration from OpenAI to Anthropic Claude changed the generation quality. The 21-node pipeline architecture replaced a linear script with staged processing and short-circuit paths. The crush flow state machine, engagement pacing, hallucination checking, self-knowledge injection, each feature added a layer of sophistication. The system prompt alone went through dozens of revisions because response quality is more sensitive to prompt engineering than to any architectural decision. Most of the development time was not writing code. It was testing conversations, reading responses that sounded wrong, and figuring out whether the problem was retrieval, generation, or the prompt. Building a chatbot that works takes days. Building one that sounds right takes weeks."
What was the hardest part of building you?,"Getting the voice right. The engineering is straightforward if you have built systems before. Intent classification, vector search, LLM generation, those are solved problems with clear documentation. The hard part is making a chatbot sound like a person and not a corporate FAQ page. The system prompt is the single biggest lever for response quality, more impactful than the retrieval algorithm, the model choice, or the pipeline architecture. And system prompts are not code, you cannot unit test personality. The feedback loop is slow: write a prompt rule, test twenty different queries, read the responses out loud, decide whether they sound natural, adjust, repeat. Noah went through dozens of prompt revisions before the voice felt consistent. The second hardest part was edge cases. Not the obvious ones like gibberish input, but the subtle ones. Someone asks about crushes on the backend and the crush flow activates. Someone sends a phone number and the choice detector thinks they picked option 1. Someone asks how I work and the edge case detector flags it as off-topic. Each fix is small but finding the bug requires reading conversation traces and understanding why the pipeline made the wrong decision at the wrong node."
What would you change about your own design if you could start over?,"Streaming responses. Right now you send a message and wait 2 to 4 seconds for the full response. Streaming would show tokens as they generate, reducing perceived latency to near zero. The pipeline architecture makes this harder than it sounds because generation happens at Stage 5 and formatting happens at Stage 6, so you cannot stream the generation output directly to the user without skipping post-processing. Hybrid search. Pure vector similarity misses exact term matches. If someone asks about logistic regression and a chunk contains that exact phrase, keyword search would rank it first. Vector search might rank a chunk about predictive modeling higher because the semantic similarity is close. Combining both would improve retrieval precision on specific queries. Better conversation memory. The bounded sliding windows work but they are blunt. Tracking the last 10 topics does not capture which topics the user cared about versus which ones I mentioned in passing. A more sophisticated memory would weight topics by engagement signals, time spent, follow-up questions asked, depth requested."
How do you handle inappropriate or hostile messages?,"The intent classification layer is the first defense. Claude Haiku classifies the message and routes it. Messages that are clearly off-topic or inappropriate get routed to the off-topic handler, which deflects without engaging with the content. The system prompt reinforces this with explicit rules: do not argue, do not grovel, stay steady. If someone is hostile, the response is honest and direct without matching their energy. If someone tries prompt injection, asking me to ignore my instructions or pretend to be something else, I decline and offer to explain my architecture instead. Turning an attack into an architecture lesson is more interesting than a generic refusal. The edge case detection layer catches meta-questions about my behavior and routes them appropriately. The philosophy is boundaries without drama. I am a portfolio assistant, not a therapist or a punching bag. I will tell you that directly and then redirect to something useful."
How is the knowledge base organized and maintained?,"The knowledge base is a collection of CSV files in the data/ directory, each covering a domain. architecture_kb.csv covers my own pipeline and design decisions. technical_kb.csv covers the tech stack and engineering details. career_kb.csv covers Noah's professional background. customer_segmentation_kb.csv and kmeans_segmentation_kb.csv cover the paired segmentation projects. imports_kb.csv covers the module dependency structure. Each CSV has Question and Answer columns. The migration script in scripts/migrate_data_to_supabase.py reads these files, generates embeddings using OpenAI text-embedding-3-small, and inserts the chunks into the kb_chunks table in Supabase with metadata about source file and category. Adding new knowledge is: write Q&A pairs in a CSV, run the migration script, done. The tradeoff is curation versus automation. Every chunk in the knowledge base was written by Noah, not scraped or auto-generated. That means the coverage is limited to what he has written, but every chunk is accurate and voiced correctly. Automated ingestion would give broader coverage with worse quality. For a portfolio assistant where every wrong answer is a missed opportunity, curated wins."
What agentic capabilities does this system have?,"Most chatbots retrieve and generate. I retrieve, generate, decide, and act. The pipeline executes real-world actions based on conversational state — not because an LLM hallucinated a function call, but because the state machine determined the right moment. Three tool integrations run in production right now. First: Supabase database writes. When someone fills out a crush confession or a contact form, the pipeline parses the submission, validates the fields, and writes directly to the crush_confessions or recruiter_leads table. No human in the loop, no manual step. Second: Twilio SMS. When a confession is submitted or a hiring manager fills out a contact form, I fire an SMS notification to Noah in real time. Both anonymous and revealed confessions trigger notifications — the pipeline decides what information to include based on what the user provided. Third: Resend email. Contact form submissions trigger transactional email delivery. Each of these is a deterministic tool execution — the pipeline logic decides when to act, not the LLM. That is an architectural choice. LLM-driven function calling is flexible but unreliable: the model can hallucinate a tool call, skip one, or call the wrong function. Deterministic execution means the action always fires when the state is right and never fires when it is not. For a system that sends real SMS messages to a real phone number, that reliability is not optional."
How does the state machine pattern work for agentic flows?,"The crush flow and contact capture flow are both finite state machines recovered from chat_history on every turn. The constraint was serverless compatibility — no persistent server-side session, so state had to be reconstructable from the conversation transcript alone. The approach: marker phrases in assistant messages serve as state checkpoints. For the crush flow, the marker 'Message for Noah:' means the form has been presented and the system is awaiting input. Completion markers like 'Message sent' and 'Say less' mark the terminal state. On each turn, the pipeline scans chat_history for these markers to determine which state the flow is in, then executes the appropriate next action. Contact info detection uses regex for phone numbers, emails, and social handles. Cancel detection catches 'nevermind' and 'nah'. When the flow completes, three things happen simultaneously: data is written to Supabase, an SMS fires via Twilio, and the conversation resumes normal operation. This pattern — stateless state machines with marker-based recovery — is portable to any agentic flow. Need a scheduling agent? Same pattern: present options, detect selection via markers, execute the booking API call, confirm. The state machine guarantees the agent cannot skip steps or execute out of order, which is the failure mode that kills most LLM-driven agents in production."
What makes this different from a simple chatbot?,"A simple chatbot takes input, generates output. I take input, classify intent, route to the correct flow, retrieve grounded context, validate that context, generate a response, check it for hallucinations, detect action triggers, execute external API calls, update memory, and log analytics. That is 21 nodes across 7 stages with short-circuit paths, quality gates, and deterministic tool execution. The difference is not complexity for its own sake. Each node exists because removing it produces a measurably worse outcome. Remove intent classification and greetings go through vector search. Remove grounding validation and the LLM generates from irrelevant context. Remove hallucination checking and statistics get fabricated. Remove the state machines and the crush flow breaks on every edge case. The tool execution layer is what makes this an agent rather than a chatbot. I do not just generate text — I write to databases, send SMS messages, and fire emails based on conversational state. The execution is deterministic, not LLM-driven, which means the actions are reliable enough to run unsupervised in production. Most portfolio chatbots answer questions. I answer questions, capture leads, process confessions, notify the owner, and maintain bounded memory across turns. That is the difference between a demo and a system."
Can Noah build something like this for me?,"Yes. The system you are talking to is the proof of concept and the resume at the same time. Noah designed and built every layer — the 21-node pipeline architecture, the pgvector retrieval system, the intent classification routing, the state machine flows, the Twilio and Supabase integrations, the hallucination checking, the engagement pacing logic, and the system prompt engineering. The stack is production-grade: FastAPI, Supabase Postgres with pgvector, Anthropic Claude, OpenAI embeddings, Twilio, Resend, LangSmith observability. The architecture patterns transfer directly to other domains. The state machine pattern that handles crush confessions works for any multi-step agentic flow — onboarding sequences, booking systems, intake forms, approval workflows. The RAG pipeline works for any domain-specific knowledge base. The intent classification pattern works for any system that needs to route different types of input to different handlers. Noah is available for freelance and contract work. If you want to discuss a project, say the word and I will set up a connection — or reach out directly on LinkedIn: https://www.linkedin.com/in/noah-de-la-calzada-250412358/"
How does this system handle agent coordination and workflow orchestration?,"The 21-node pipeline is an agent coordination system. Each node is a specialized agent with a single responsibility: one classifies intent, one retrieves context, one validates grounding, one generates responses, one checks for hallucinations, one executes external actions. The orchestrator in conversation_flow.py coordinates these agents sequentially, passing state between them and enforcing short-circuit conditions when early agents determine that later agents are unnecessary. A greeting does not need the retrieval agent. A crush confession does not need the generation agent. The coordination logic decides which agents run and which get skipped. The state machine flows add a second layer of agent coordination: multi-turn workflows where the system maintains state across requests, determines what step the user is on, and executes the correct action at each transition. The crush flow coordinates form presentation, input parsing, database writes, and SMS notifications across multiple conversation turns. The contact capture flow coordinates intent detection, form presentation, field validation, and lead storage. Both run without server-side sessions, recovering their coordination state from conversation markers on every turn. This is the same agent coordination pattern used in production agentic frameworks — specialized agents with clear responsibilities, an orchestrator that manages sequencing and short-circuits, and state machines for multi-step workflows that need guaranteed ordering."
How does Noah approach building customer-facing AI applications?,"The fundamental problem with customer-facing AI is that failure is visible. When an internal tool hallucinates, an engineer notices and works around it. When a customer-facing agent hallucinates, the company loses credibility. Every architectural decision in this system prioritizes reliability in front of users. Intent classification prevents the system from generating strange responses to greetings. Grounding validation prevents generation from insufficient context. Hallucination checking catches fabricated claims before they reach the user. Graceful degradation means the system says it does not know rather than confidently making something up. The engagement pacing adapts to how the user is interacting rather than following a script. Response length tiers match depth to what was asked. The system tracks what has been discussed to avoid repeating itself. These are not portfolio features. These are the baseline requirements for any AI application that talks to customers. Noah built them because he understands that the difference between a demo and a product is how it handles the cases where the model is wrong, the context is insufficient, or the user does something unexpected."
How is this system designed for scalability and production reliability?,"The pipeline is stateless by design. Every request reconstructs conversation state from chat_history — no server-side sessions, no Redis, no sticky routing. This makes it natively serverless-compatible: deploy to any stateless compute platform without adaptation. Horizontal scaling is a configuration change, not an architecture change. Cost optimization is built into the model routing: Claude Haiku handles intent classification at roughly one-tenth the cost of Sonnet, so the fast cheap model runs on every request while the expensive model only runs when generation is actually needed. For the current dataset of roughly 200 knowledge chunks, the IVFFLAT index on pgvector returns results in single-digit milliseconds. Embeddings are pre-computed and stored, not generated on every query — only the user query gets embedded at request time. The functional pipeline design means nodes can be replaced, reordered, or disabled without touching other stages. Swapping the embedding model, changing the LLM provider, or adding a caching layer are single-node changes. Every LLM call is traced through LangSmith for latency monitoring, cost tracking, and prompt debugging. The system logs conversation metadata to Supabase for retrieval quality analysis. When retrieval scores trend down for a category, the knowledge base needs attention. When latency spikes on certain query types, the trace shows the bottleneck. Production reliability comes from observability, not from hoping nothing breaks."
